Host Country,United States of America,United Kingdom
Afghanistan,1. Entry Visa Approval Application; 2. Consular Visa Application; 3. Work Permit Application; 4. Multiple Entry Work Visa Application; 5. Residence Visa Application [Work Permit (Highly Skilled)]; 1. Entry Visa Approval Application (BSA); 2. Consular Visa Application; 3. Residence Visa Application [Work Visa (BSA/SOFA Contractor)],1. Entry Visa Approval Application; 2. Consular Visa Application; 3. Work Permit Application; 4. Multiple Entry Work Visa Application; 5. Residence Visa Application [Work Permit (Highly Skilled)]; 1. Entry Visa Approval Application (BSA); 2. Consular Visa Application; 3. Residence Visa Application [Work Visa (BSA/SOFA Contractor)]
Albania,1. Certificate of Exemption Application; 2. Residence Permit Application; 3. Residence Permit Application; 4. Civil Status Office Registration [Work Permit Exemption],1. Work Permit Application; 2. Residence Permit Application; 3. Dependent Type D Visa Online Application; 4. Dependent Residence Permit Application [Work Permit (Intra-Company Transfer - Managers and Specialists)]; 1. Work Registration Certificate Application [Work Registration Certificate (Up to 60 Days)]; 1. Work Permit Application; 2. Residence Permit Application; 3. Dependent Type D Visa Application; 4. Dependent Residence Permit Application [Work Permit (Local Hire)]
Algeria,1. Global Agreement in Principle Application; 2. Temporary Work Authorisation Application; 3. Temporary Work Visa Application; 4. Work Permit Application [Short-Term Work Permit ]; 1. Global Agreement in Principle Application; 2. Temporary Work Authorisation Application; 3. Work Visa Application; 4. Work Permit Application; 5. Residence Permit Application; 6. Family Visa Application; 7. Residence Permit Application [Work Permit ],1. Global Agreement in Principle Application; 2. Temporary Work Authorisation Application; 3. Temporary Work Visa Application; 4. Work Permit Application [Short-Term Work Permit ]; 1. Global Agreement in Principle Application; 2. Temporary Work Authorisation Application; 3. Work Visa Application; 4. Work Permit Application; 5. Residence Permit Application; 6. Family Visa Application; 7. Residence Permit Application [Work Permit ]
Angola,1. Labour Market Search; 2. Ministry of Petroleum (MINPET) Approval; 3. Short-Term Visit Visa Invitation Letter Application; 4. Short-Term Visit Visa Application; 5. Work Visa Application and Conversion of Status; 6. Temporary Stay Visa Invitation Letter Application; 7. Temporary Stay Visa Application [Work Visa (Oil and Gas Sector)]; 1. Labour Market Search; 2. Ministry Approval; 3. Work Visa Application; 4. Temporary Stay Visa Application [Work Visa ],1. Labour Market Search; 2. Ministry of Petroleum (MINPET) Approval; 3. Short-Term Visit Visa Invitation Letter Application; 4. Short-Term Visit Visa Application; 5. Work Visa Application and Conversion of Status; 6. Temporary Stay Visa Invitation Letter Application; 7. Temporary Stay Visa Application [Work Visa (Oil and Gas Sector)]; 1. Labour Market Search; 2. Ministry Approval; 3. Work Visa Application; 4. Temporary Stay Visa Application [Work Visa ]
Argentina,"1. Temporary Residence Application; 2. Temporary CUIL Number Application; 3. Residence Approval and RENAPER Notification; 4. DNI Issuance and Definite CUIL Number Application [Temporary Residence (23A/23E) (Post-Arrival Change of Status)]; 1. Post-Arrival Change of Status Application [Technical or Professional Visa (24H) (30 Days) (Post-Arrival Change of Status) ]; 1. Entry Permit Application; 2. Temporary Residence Visa Application; 3. Temporary CUIL Number Application; 4. DNI (ID Card) Application; 5. DNI Issuance and Definite CUIL Number Application [Temporary Residence (23A/23E) (Consular Application) ]; 1. Entry Permit Application; 2. Technical or Professional Visa Application [Technical or Professional Visa (24H) (30 Days) (Consular Application) ]; 1. Post-Arrival Change of Status Application [Technical or Professional Visa (24H) (Transitory Work Authorisation up to 90 Days, Post-Arrival Change of Status)]","1. Temporary Residence Application; 2. Temporary CUIL Number Application; 3. Residence Approval and RENAPER Notification; 4. DNI Issuance and Definite CUIL Number Application [Temporary Residence (23A/23E) (Post-Arrival Change of Status)]; 1. Post-Arrival Change of Status Application [Technical or Professional Visa (24H) (30 Days) (Post-Arrival Change of Status) ]; 1. Entry Permit Application; 2. Temporary Residence Visa Application; 3. Temporary CUIL Number Application; 4. DNI (ID Card) Application; 5. DNI Issuance and Definite CUIL Number Application [Temporary Residence (23A/23E) (Consular Application) ]; 1. Entry Permit Application; 2. Technical or Professional Visa Application [Technical or Professional Visa (24H) (30 Days) (Consular Application) ]; 1. Post-Arrival Change of Status Application [Technical or Professional Visa (24H) (Transitory Work Authorisation up to 90 Days, Post-Arrival Change of Status)]"
Australia,1. Subclass 400 Visa Online Application [Subclass 400 Temporary Work (Short-Stay Specialist) Visa]; 1. Business Sponsorship Application; 2. Nomination Application; 3. Subclass 482 Visa Application [Subclass 482 Temporary Skill Shortage Visa (Short-Term Stream)]; 1. Regional Certifying Body Application; 2. Nomination Application; 3. Subclass 494 Visa Application [Subclass 494 Skilled Employer Sponsored Regional (Provisional) Visa]; 1. Nomination Application; 2. Subclass 186 Visa Application [Subclass 186 Employer Nomination Scheme (ENS)]; 1. Business Sponsorship Application; 2. Nomination Application; 3. Subclass 482 Visa Application [Subclass 482 Temporary Skill Shortage Visa (Medium-Term Stream)],1. Subclass 400 Visa Online Application [Subclass 400 Temporary Work (Short-Stay Specialist) Visa]; 1. Business Sponsorship Application; 2. Nomination Application; 3. Subclass 482 Visa Application [Subclass 482 Temporary Skill Shortage Visa (Short-Term Stream)]; 1. Regional Certifying Body Application; 2. Nomination Application; 3. Subclass 494 Visa Application [Subclass 494 Skilled Employer Sponsored Regional (Provisional) Visa]; 1. Nomination Application; 2. Subclass 186 Visa Application [Subclass 186 Employer Nomination Scheme (ENS)]; 1. Business Sponsorship Application; 2. Nomination Application; 3. Subclass 482 Visa Application [Subclass 482 Temporary Skill Shortage Visa (Medium-Term Stream)]
Austria,1. Permit Approval (Sicherungsbescheinigung) Application; 2. Visa Application; 3. Address Registration (Meldezettel); 4. Employment Permit (Beschäftigungsbewilligung) Application [Posting to Client Site (Betriebsentsendung) (Up to Six Months)]; 1. ICT Permit Application; 2. Type D Visa Endorsement; 3. Address Registration (Meldezettel); 4. ICT Permit Collection; 5. Employment Notification [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Posting Permit (Entsendebewilligung) Application; 2. Visa Application; 3. Address Registration (Meldezettel) [Posting Permit (Entsendebewilligung) (Up to Four Months)]; 1. Posted Worker Notification [Assignment from Within the EEA]; 1. Address Registration (Meldezettel); 2. Red-White-Red Card Application; 3. Notification of Employment [Red-White-Red Card (Very Highly Qualified)]; 1. Permit Approval (Sicherungsbescheinigung) Application; 2. Address Registration (Meldezettel); 3. Residence Permit Application; 4. Residence Permit Collection; 5. Employment Permit (Beschäftigungsbewilligung) Application [Posting to Client Site (Betriebsentsendung) (Over Six Months)]; 1. Address Registration (Meldezettel); 2. EU Blue Card Application; 3. Notification of Employment [EU Blue Card]; 1. Address Registration (Meldezettel); 2. Red-White-Red Card Application; 3. Employment Notification [Red-White-Red Card (Shortage Occupations)]; 1. Joint Venture Permit Application; 2. D Visa Application; 3. Address Registration (Meldezettel) [Temporary Assignment for Joint Ventures (Up to Six Months)]; 1. Address Registration (Meldezettel); 2. Red-White-Red Card Application; 3. Employment Notification [Red-White-Red Card (Key Personnel)],1. Permit Approval (Sicherungsbescheinigung) Application; 2. Visa Application; 3. Address Registration (Meldezettel); 4. Employment Permit (Beschäftigungsbewilligung) Application [Posting to Client Site (Betriebsentsendung) (Up to Six Months)]; 1. ICT Permit Application; 2. Type D Visa Endorsement; 3. Address Registration (Meldezettel); 4. ICT Permit Collection; 5. Employment Notification [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Posting Permit (Entsendebewilligung) Application; 2. Visa Application; 3. Address Registration (Meldezettel) [Posting Permit (Entsendebewilligung) (Up to Four Months)]; 1. Posted Worker Notification [Assignment from Within the EEA]; 1. Address Registration (Meldezettel); 2. Red-White-Red Card Application; 3. Notification of Employment [Red-White-Red Card (Very Highly Qualified)]; 1. Permit Approval (Sicherungsbescheinigung) Application; 2. Address Registration (Meldezettel); 3. Residence Permit Application; 4. Residence Permit Collection; 5. Employment Permit (Beschäftigungsbewilligung) Application [Posting to Client Site (Betriebsentsendung) (Over Six Months)]; 1. Address Registration (Meldezettel); 2. EU Blue Card Application; 3. Notification of Employment [EU Blue Card]; 1. Address Registration (Meldezettel); 2. Red-White-Red Card Application; 3. Employment Notification [Red-White-Red Card (Shortage Occupations)]; 1. Joint Venture Permit Application; 2. D Visa Application; 3. Address Registration (Meldezettel) [Temporary Assignment for Joint Ventures (Up to Six Months)]; 1. Address Registration (Meldezettel); 2. Red-White-Red Card Application; 3. Employment Notification [Red-White-Red Card (Key Personnel)]
Azerbaijan,1. Work Permit Application; 2. MFA Confirmation; 3. Work Visa Application; 4. Registration with State Migration Service; 5. Temporary Residence Permit Application [Work Permit ]; 1. MFA Confirmation; 2. Work Visa Application; 3. Registration with State Migration Service; 4. Temporary Residence Permit Application [Work Permit Exemption],1. Work Permit Application; 2. MFA Confirmation; 3. Work Visa Application; 4. Registration with State Migration Service; 5. Temporary Residence Permit Application [Work Permit ]; 1. MFA Confirmation; 2. Work Visa Application; 3. Registration with State Migration Service; 4. Temporary Residence Permit Application [Work Permit Exemption]
Bahrain,1. Work Permit Application; 2. Local Immigration Medical; 3. ID Card Application; 4. Dependent Permit(s); 5. ID Card Application for Dependents [Work Permit],1. Work Permit Application; 2. Local Immigration Medical; 3. ID Card Application; 4. Dependent Permit(s); 5. ID Card Application for Dependents [Work Permit]
Bangladesh,1. Application for BIDA Visa Recommendation; 2. E1 Visa Consular Application [E1 Visa (Service Providers) (Under 6 Months)]; 1. Application for BIDA Visa Recommendation; 2. Provisional E Visa Consular Application; 3. Work Permit Application; 4. Security Clearance; 5. Application for Visa Extension [E Visa with Work Permit],1. Application for BIDA Visa Recommendation; 2. E1 Visa Consular Application [E1 Visa (Service Providers) (Under 6 Months)]; 1. Application for BIDA Visa Recommendation; 2. Provisional E Visa Consular Application; 3. Work Permit Application; 4. Security Clearance; 5. Application for Visa Extension [E Visa with Work Permit]
